Datum,1NP901A
25.12.1991. 00:00:00,74.29
1.1.1992. 00:00:00,74.29
5.1.1992. 00:00:00,74.27
10.1.1992. 00:00:00,74.29
15.1.1992. 00:00:00,74.3
20.1.1992. 00:00:00,74.31
25.1.1992. 00:00:00,74.32
1.2.1992. 00:00:00,74.34
5.2.1992. 00:00:00,74.33
10.2.1992. 00:00:00,74.33
15.2.1992. 00:00:00,74.34
20.2.1992. 00:00:00,74.33
25.2.1992. 00:00:00,74.34
1.3.1992. 00:00:00,74.33
5.3.1992. 00:00:00,74.34
10.3.1992. 00:00:00,74.35
15.3.1992. 00:00:00,74.35
20.3.1992. 00:00:00,74.36
25.3.1992. 00:00:00,74.37
1.4.1992. 00:00:00,74.37
5.4.1992. 00:00:00,74.37
10.4.1992. 00:00:00,74.35
15.4.1992. 00:00:00,74.35
20.4.1992. 00:00:00,74.33
25.4.1992. 00:00:00,74.32
1.5.1992. 00:00:00,74.32
5.5.1992. 00:00:00,74.31
10.5.1992. 00:00:00,74.31
15.5.1992. 00:00:00,74.3
20.5.1992. 00:00:00,74.29
25.5.1992. 00:00:00,74.28
1.6.1992. 00:00:00,74.28
5.6.1992. 00:00:00,74.3
10.6.1992. 00:00:00,74.33
15.6.1992. 00:00:00,74.37
20.6.1992. 00:00:00,74.4
25.6.1992. 00:00:00,74.42
1.7.1992. 00:00:00,74.43
5.7.1992. 00:00:00,74.44
10.7.1992. 00:00:00,74.46
15.7.1992. 00:00:00,74.48
20.7.1992. 00:00:00,74.5
25.7.1992. 00:00:00,74.52
1.8.1992. 00:00:00,74.49
5.8.1992. 00:00:00,74.47
10.8.1992. 00:00:00,74.42
15.8.1992. 00:00:00,74.37
20.8.1992. 00:00:00,74.32
25.8.1992. 00:00:00,74.27
1.9.1992. 00:00:00,74.27
5.9.1992. 00:00:00,74.26
10.9.1992. 00:00:00,74.23
15.9.1992. 00:00:00,74.2
20.9.1992. 00:00:00,74.18
25.9.1992. 00:00:00,74.17
1.10.1992. 00:00:00,74.16
5.10.1992. 00:00:00,74.14
10.10.1992. 00:00:00,74.13
15.10.1992. 00:00:00,74.11
20.10.1992. 00:00:00,74.1
25.10.1992. 00:00:00,74.1
1.11.1992. 00:00:00,74.12
5.11.1992. 00:00:00,74.14
10.11.1992. 00:00:00,74.15
15.11.1992. 00:00:00,74.17
20.11.1992. 00:00:00,74.19
25.11.1992. 00:00:00,74.2
1.12.1992. 00:00:00,74.2
5.12.1992. 00:00:00,74.2
10.12.1992. 00:00:00,74.19
15.12.1992. 00:00:00,74.18
20.12.1992. 00:00:00,74.19
25.12.1992. 00:00:00,74.2
1.3.1993. 00:00:00,73.92
5.3.1993. 00:00:00,73.97
10.3.1993. 00:00:00,74.05
15.3.1993. 00:00:00,74.07
20.3.1993. 00:00:00,74.17
25.3.1993. 00:00:00,74.37
1.4.1993. 00:00:00,74.46
5.4.1993. 00:00:00,74.47
10.4.1993. 00:00:00,74.57
15.4.1993. 00:00:00,74.57
20.4.1993. 00:00:00,74.47
25.4.1993. 00:00:00,74.37
1.5.1993. 00:00:00,74.37
5.5.1993. 00:00:00,74.37
10.5.1993. 00:00:00,74.39
15.5.1993. 00:00:00,74.41
20.5.1993. 00:00:00,74.37
25.5.1993. 00:00:00,74.32
1.6.1993. 00:00:00,74.3
5.6.1993. 00:00:00,74.24
10.6.1993. 00:00:00,74.19
15.6.1993. 00:00:00,74.16
20.6.1993. 00:00:00,74.17
25.6.1993. 00:00:00,74.15
1.7.1993. 00:00:00,74.12
5.7.1993. 00:00:00,74.08
10.7.1993. 00:00:00,74.07
15.7.1993. 00:00:00,74.06
20.7.1993. 00:00:00,74.06
25.7.1993. 00:00:00,74.02
1.8.1993. 00:00:00,73.99
5.8.1993. 00:00:00,73.99
10.8.1993. 00:00:00,73.97
15.8.1993. 00:00:00,73.95
20.8.1993. 00:00:00,73.96
25.8.1993. 00:00:00,73.95
1.9.1993. 00:00:00,73.94
5.9.1993. 00:00:00,73.94
10.9.1993. 00:00:00,73.95
15.9.1993. 00:00:00,73.94
20.9.1993. 00:00:00,73.95
25.9.1993. 00:00:00,73.92
1.10.1993. 00:00:00,73.91
5.10.1993. 00:00:00,73.91
10.10.1993. 00:00:00,73.92
15.10.1993. 00:00:00,73.91
20.10.1993. 00:00:00,73.92
25.10.1993. 00:00:00,73.92
1.11.1993. 00:00:00,73.9
5.11.1993. 00:00:00,73.89
10.11.1993. 00:00:00,73.91
15.11.1993. 00:00:00,73.93
20.11.1993. 00:00:00,73.97
25.11.1993. 00:00:00,73.93
1.12.1993. 00:00:00,73.95
5.12.1993. 00:00:00,73.94
10.12.1993. 00:00:00,73.95
15.12.1993. 00:00:00,73.94
20.12.1993. 00:00:00,73.97
25.12.1993. 00:00:00,73.96
1.1.1994. 00:00:00,73.97
5.1.1994. 00:00:00,73.95
10.1.1994. 00:00:00,73.96
15.1.1994. 00:00:00,73.95
20.1.1994. 00:00:00,73.97
25.1.1994. 00:00:00,73.98
1.2.1994. 00:00:00,74.0
5.2.1994. 00:00:00,73.97
10.2.1994. 00:00:00,73.99
15.2.1994. 00:00:00,73.98
20.2.1994. 00:00:00,74.0
25.2.1994. 00:00:00,74.0
1.3.1994. 00:00:00,74.0
5.3.1994. 00:00:00,73.98
10.3.1994. 00:00:00,73.98
15.3.1994. 00:00:00,74.0
20.3.1994. 00:00:00,74.0
25.3.1994. 00:00:00,74.02
1.4.1994. 00:00:00,74.0
5.4.1994. 00:00:00,73.98
10.4.1994. 00:00:00,73.97
15.4.1994. 00:00:00,73.96
20.4.1994. 00:00:00,73.97
25.4.1994. 00:00:00,73.98
1.5.1994. 00:00:00,73.98
5.5.1994. 00:00:00,73.97
10.5.1994. 00:00:00,73.97
15.5.1994. 00:00:00,73.96
20.5.1994. 00:00:00,73.95
25.5.1994. 00:00:00,73.94
1.6.1994. 00:00:00,73.94
5.6.1994. 00:00:00,73.93
10.6.1994. 00:00:00,73.94
15.6.1994. 00:00:00,73.95
20.6.1994. 00:00:00,73.97
25.6.1994. 00:00:00,73.96
1.7.1994. 00:00:00,73.96
5.7.1994. 00:00:00,73.95
10.7.1994. 00:00:00,73.96
15.7.1994. 00:00:00,73.93
20.7.1994. 00:00:00,73.89
25.7.1994. 00:00:00,73.87
1.8.1994. 00:00:00,73.86
5.8.1994. 00:00:00,73.86
10.8.1994. 00:00:00,73.84
15.8.1994. 00:00:00,73.82
20.8.1994. 00:00:00,73.83
25.8.1994. 00:00:00,73.82
1.9.1994. 00:00:00,73.81
5.9.1994. 00:00:00,73.79
10.9.1994. 00:00:00,73.78
15.9.1994. 00:00:00,73.75
20.9.1994. 00:00:00,73.74
25.9.1994. 00:00:00,73.74
1.10.1994. 00:00:00,73.74
5.10.1994. 00:00:00,73.76
10.10.1994. 00:00:00,73.74
15.10.1994. 00:00:00,73.72
20.10.1994. 00:00:00,73.73
25.10.1994. 00:00:00,73.71
1.11.1994. 00:00:00,73.72
5.11.1994. 00:00:00,73.71
10.11.1994. 00:00:00,73.69
15.11.1994. 00:00:00,73.7
20.11.1994. 00:00:00,73.7
25.11.1994. 00:00:00,73.71
1.12.1994. 00:00:00,73.73
5.12.1994. 00:00:00,73.75
10.12.1994. 00:00:00,73.74
15.12.1994. 00:00:00,73.75
20.12.1994. 00:00:00,73.75
25.12.1994. 00:00:00,73.77
1.1.1995. 00:00:00,73.74
5.1.1995. 00:00:00,73.75
10.1.1995. 00:00:00,73.76
15.1.1995. 00:00:00,73.77
20.1.1995. 00:00:00,73.79
25.1.1995. 00:00:00,73.77
1.2.1995. 00:00:00,73.78
5.2.1995. 00:00:00,73.78
10.2.1995. 00:00:00,73.77
15.2.1995. 00:00:00,73.77
20.2.1995. 00:00:00,73.78
25.2.1995. 00:00:00,73.78
1.3.1995. 00:00:00,73.78
5.3.1995. 00:00:00,73.78
10.3.1995. 00:00:00,73.77
15.3.1995. 00:00:00,73.77
20.3.1995. 00:00:00,73.8
25.3.1995. 00:00:00,73.78
1.4.1995. 00:00:00,73.78
5.4.1995. 00:00:00,73.78
10.4.1995. 00:00:00,73.79
15.4.1995. 00:00:00,73.8
20.4.1995. 00:00:00,73.8
25.4.1995. 00:00:00,73.81
1.5.1995. 00:00:00,73.82
5.5.1995. 00:00:00,73.82
10.5.1995. 00:00:00,73.82
15.5.1995. 00:00:00,73.81
20.5.1995. 00:00:00,73.81
25.5.1995. 00:00:00,73.8
1.6.1995. 00:00:00,73.79
5.6.1995. 00:00:00,73.79
10.6.1995. 00:00:00,73.79
15.6.1995. 00:00:00,73.76
20.6.1995. 00:00:00,73.73
25.6.1995. 00:00:00,73.73
1.7.1995. 00:00:00,73.73
5.7.1995. 00:00:00,73.73
10.7.1995. 00:00:00,73.72
15.7.1995. 00:00:00,73.7
20.7.1995. 00:00:00,73.69
25.7.1995. 00:00:00,73.67
1.8.1995. 00:00:00,73.67
5.8.1995. 00:00:00,73.64
10.8.1995. 00:00:00,73.63
15.8.1995. 00:00:00,73.63
20.8.1995. 00:00:00,73.61
25.8.1995. 00:00:00,73.61
1.9.1995. 00:00:00,73.61
5.9.1995. 00:00:00,73.62
10.9.1995. 00:00:00,73.62
15.9.1995. 00:00:00,73.63
20.9.1995. 00:00:00,73.63
25.9.1995. 00:00:00,73.63
1.10.1995. 00:00:00,73.62
5.10.1995. 00:00:00,73.62
10.10.1995. 00:00:00,73.61
15.10.1995. 00:00:00,73.62
20.10.1995. 00:00:00,73.61
25.10.1995. 00:00:00,73.61
1.11.1995. 00:00:00,73.61
5.11.1995. 00:00:00,73.6
10.11.1995. 00:00:00,73.59
15.11.1995. 00:00:00,73.58
20.11.1995. 00:00:00,73.61
25.11.1995. 00:00:00,73.63
1.12.1995. 00:00:00,73.63
5.12.1995. 00:00:00,73.64
10.12.1995. 00:00:00,73.62
15.12.1995. 00:00:00,73.61
20.12.1995. 00:00:00,73.62
25.12.1995. 00:00:00,73.61
1.1.1996. 00:00:00,73.64
5.1.1996. 00:00:00,73.67
10.1.1996. 00:00:00,73.68
15.1.1996. 00:00:00,73.66
20.1.1996. 00:00:00,73.65
25.1.1996. 00:00:00,73.63
1.2.1996. 00:00:00,73.62
5.2.1996. 00:00:00,73.67
10.2.1996. 00:00:00,73.71
15.2.1996. 00:00:00,73.77
20.2.1996. 00:00:00,73.84
25.2.1996. 00:00:00,73.87
1.3.1996. 00:00:00,73.83
5.3.1996. 00:00:00,73.83
10.3.1996. 00:00:00,73.82
15.3.1996. 00:00:00,73.84
20.3.1996. 00:00:00,73.83
25.3.1996. 00:00:00,73.82
1.4.1996. 00:00:00,73.83
5.4.1996. 00:00:00,73.84
10.4.1996. 00:00:00,73.84
15.4.1996. 00:00:00,73.85
20.4.1996. 00:00:00,73.85
25.4.1996. 00:00:00,73.87
1.5.1996. 00:00:00,73.89
5.5.1996. 00:00:00,73.89
10.5.1996. 00:00:00,73.9
15.5.1996. 00:00:00,73.93
20.5.1996. 00:00:00,73.91
25.5.1996. 00:00:00,73.9
1.6.1996. 00:00:00,73.93
5.6.1996. 00:00:00,73.94
10.6.1996. 00:00:00,73.96
15.6.1996. 00:00:00,73.97
20.6.1996. 00:00:00,73.98
25.6.1996. 00:00:00,73.99
1.7.1996. 00:00:00,73.97
5.7.1996. 00:00:00,73.96
10.7.1996. 00:00:00,73.93
15.7.1996. 00:00:00,73.92
20.7.1996. 00:00:00,73.94
25.7.1996. 00:00:00,73.95
1.8.1996. 00:00:00,73.93
5.8.1996. 00:00:00,73.88
10.8.1996. 00:00:00,73.84
