Datum,1NP894
20/11/1971 00:00:00,70.56
30/11/1971 00:00:00,70.46
10/12/1971 00:00:00,70.46
20/12/1971 00:00:00,70.51
30/12/1971 00:00:00,70.56
10/01/1972 00:00:00,70.6
20/01/1972 00:00:00,70.56
30/01/1972 00:00:00,70.46
10/02/1972 00:00:00,70.49
20/02/1972 00:00:00,70.43
28/02/1972 00:00:00,70.43
10/03/1972 00:00:00,70.43
20/03/1972 00:00:00,70.33
30/03/1972 00:00:00,70.3
10/04/1972 00:00:00,70.28
20/04/1972 00:00:00,70.3
30/04/1972 00:00:00,70.38
10/05/1972 00:00:00,70.38
20/05/1972 00:00:00,70.33
30/05/1972 00:00:00,70.32
10/06/1972 00:00:00,70.33
20/06/1972 00:00:00,70.33
30/06/1972 00:00:00,70.37
10/07/1972 00:00:00,70.37
20/07/1972 00:00:00,70.33
30/07/1972 00:00:00,70.23
10/08/1972 00:00:00,70.27
20/08/1972 00:00:00,70.23
30/08/1972 00:00:00,70.23
10/09/1972 00:00:00,70.23
20/09/1972 00:00:00,70.27
30/09/1972 00:00:00,70.22
10/10/1972 00:00:00,70.33
20/10/1972 00:00:00,70.54
30/10/1972 00:00:00,70.76
10/11/1972 00:00:00,70.73
20/11/1972 00:00:00,70.63
30/11/1972 00:00:00,70.63
10/12/1972 00:00:00,70.02
20/12/1972 00:00:00,69.82
30/12/1972 00:00:00,69.52
10/01/1973 00:00:00,70.22
20/01/1973 00:00:00,70.43
30/01/1973 00:00:00,70.56
10/02/1973 00:00:00,70.56
20/02/1973 00:00:00,70.56
28/02/1973 00:00:00,70.65
10/03/1973 00:00:00,70.66
20/03/1973 00:00:00,70.86
30/03/1973 00:00:00,71.16
10/04/1973 00:00:00,70.96
20/04/1973 00:00:00,71.16
30/04/1973 00:00:00,71.35
10/05/1973 00:00:00,71.36
20/05/1973 00:00:00,71.36
30/05/1973 00:00:00,71.26
10/06/1973 00:00:00,71.15
20/06/1973 00:00:00,71.03
30/06/1973 00:00:00,70.87
10/07/1973 00:00:00,69.78
20/07/1973 00:00:00,70.71
30/07/1973 00:00:00,70.66
10/08/1973 00:00:00,70.73
20/08/1973 00:00:00,70.64
30/08/1973 00:00:00,70.56
10/09/1973 00:00:00,70.56
20/09/1973 00:00:00,70.42
30/09/1973 00:00:00,70.36
10/10/1973 00:00:00,70.36
20/10/1973 00:00:00,70.3
30/10/1973 00:00:00,70.2
10/11/1973 00:00:00,70.18
20/11/1973 00:00:00,70.13
30/11/1973 00:00:00,70.11
10/12/1973 00:00:00,70.31
20/12/1973 00:00:00,70.38
30/12/1973 00:00:00,70.4
10/01/1974 00:00:00,70.3
20/01/1974 00:00:00,70.43
30/01/1974 00:00:00,70.51
10/02/1974 00:00:00,70.43
20/02/1974 00:00:00,70.33
28/02/1974 00:00:00,70.33
10/03/1974 00:00:00,70.33
20/03/1974 00:00:00,70.41
30/03/1974 00:00:00,70.46
10/04/1974 00:00:00,70.41
20/04/1974 00:00:00,70.46
30/04/1974 00:00:00,70.51
10/05/1974 00:00:00,70.46
20/05/1974 00:00:00,70.61
30/05/1974 00:00:00,70.86
10/06/1974 00:00:00,70.81
20/06/1974 00:00:00,70.75
30/06/1974 00:00:00,70.69
10/07/1974 00:00:00,70.64
20/07/1974 00:00:00,70.55
30/07/1974 00:00:00,70.56
10/08/1974 00:00:00,70.56
20/08/1974 00:00:00,70.46
30/08/1974 00:00:00,70.46
10/09/1974 00:00:00,70.41
20/09/1974 00:00:00,70.31
30/09/1974 00:00:00,70.24
10/10/1974 00:00:00,70.46
20/10/1974 00:00:00,70.96
30/10/1974 00:00:00,71.26
10/11/1974 00:00:00,71.26
20/11/1974 00:00:00,70.76
30/11/1974 00:00:00,70.46
10/12/1974 00:00:00,70.51
20/12/1974 00:00:00,70.56
30/12/1974 00:00:00,70.61
