Datum,1NPPL-111
1.3.2007. 00:00:00,350
5.3.2007. 00:00:00,340
10.3.2007. 00:00:00,360
15.3.2007. 00:00:00,374
20.3.2007. 00:00:00,382
25.3.2007. 00:00:00,390
1.4.2007. 00:00:00,392
5.4.2007. 00:00:00,384
10.4.2007. 00:00:00,378
15.4.2007. 00:00:00,372
20.4.2007. 00:00:00,370
25.4.2007. 00:00:00,370
1.5.2007. 00:00:00,365
5.5.2007. 00:00:00,370
10.5.2007. 00:00:00,382
15.5.2007. 00:00:00,386
20.5.2007. 00:00:00,390
25.5.2007. 00:00:00,390
1.6.2007. 00:00:00,390
5.6.2007. 00:00:00,392
10.6.2007. 00:00:00,396
15.6.2007. 00:00:00,396
20.6.2007. 00:00:00,402
25.6.2007. 00:00:00,406
1.7.2007. 00:00:00,415
5.7.2007. 00:00:00,424
10.7.2007. 00:00:00,430
15.7.2007. 00:00:00,432
20.7.2007. 00:00:00,440
25.7.2007. 00:00:00,442
1.8.2007. 00:00:00,434
5.8.2007. 00:00:00,431
10.8.2007. 00:00:00,438
15.8.2007. 00:00:00,436
20.8.2007. 00:00:00,438
25.8.2007. 00:00:00,441
1.9.2007. 00:00:00,436
5.9.2007. 00:00:00,433
10.9.2007. 00:00:00,432
15.9.2007. 00:00:00,425
20.9.2007. 00:00:00,426
25.9.2007. 00:00:00,424
1.10.2007. 00:00:00,374
5.10.2007. 00:00:00,380
10.10.2007. 00:00:00,382
15.10.2007. 00:00:00,387
20.10.2007. 00:00:00,397
25.10.2007. 00:00:00,400
1.11.2007. 00:00:00,384
5.11.2007. 00:00:00,362
10.11.2007. 00:00:00,354
15.11.2007. 00:00:00,348
20.11.2007. 00:00:00,350
25.11.2007. 00:00:00,351
1.12.2007. 00:00:00,346
5.12.2007. 00:00:00,337
10.12.2007. 00:00:00,342
15.12.2007. 00:00:00,340
20.12.2007. 00:00:00,337
25.12.2007. 00:00:00,360
1.1.2008. 00:00:00,387
5.1.2008. 00:00:00,397
10.1.2008. 00:00:00,386
15.1.2008. 00:00:00,381
20.1.2008. 00:00:00,382
25.1.2008. 00:00:00,384
1.2.2008. 00:00:00,386
5.2.2008. 00:00:00,385
10.2.2008. 00:00:00,386
15.2.2008. 00:00:00,386
20.2.2008. 00:00:00,390
